,Family,Protein_Name,Protein_ID,Localization,Topology,TM_Segment_Helix,Hydrophobic_Thickness_or_Depth,Tilt_Angle,deltaGfold,kcal_mol
76,Interleukin-1 receptor,Interleukin-1 receptor accessory protein,IL1AP_HUMAN,Plasma memb.,Out,360- 381 ( 356- 382),34.4,7,-14.3,-25.5
77,Interleukin-1 receptor,Interleukin-1 receptor accessory protein...,IRPL1_HUMAN,Plasma memb.,Out,358- 380 ( 354- 381),32.5,24,-13.9,-22.8
80,Interleukin-1 receptor,Interleukin-1 receptor type 1,IL1R1_HUMAN,Plasma memb.,Out,335- 357 ( 333- 359),34.5,14,-13.3,-22.6
82,Interleukin-1 receptor,Lymphocyte activation gene 3 protein,LAG3_HUMAN,Plasma memb.,Out,447- 469 ( 446- 470),34.5,21,-19.1,-28.8
83,Interleukin-1 receptor,Single Ig IL-1-related receptor,SIGIR_HUMAN,Plasma memb.,Out,118- 140 ( 116- 143),34.3,10,-23.2,-27.7
84,Interleukin-1 receptor,X-linked interleukin-1 receptor accessor...,IRPL2_HUMAN,Plasma memb.,Out,355- 376 ( 351- 378),33.3,19,-16.5,-24.7
85,Butyrophylin family,Butyrophilin-like protein 10,BTNLA_HUMAN,Plasma memb.,Out,252- 274 ( 250- 280),34.3,20,-15.9,-27.8
87,Butyrophylin family,Butyrophilin-like protein 3,BTNL3_HUMAN,Plasma memb.,Out,234- 259 ( 231- 262),34.5,26,-14.9,-26.1
88,Butyrophylin family,Butyrophilin-like protein 8,BTNL8_HUMAN,Plasma memb.,Out,234- 256 ( 230- 260),33.5,20,-10.1,-23.5
89,Butyrophylin family,Butyrophilin-like protein 9,BTNL9_HUMAN,Plasma memb.,Out,258- 278 ( 252- 288),33.3,5,-18.5,-28.9
90,Butyrophylin family,Butyrophilin subfamily 1 member A1,BT1A1_HUMAN,Plasma memb.,Out,246- 270 ( 245- 274),34.0,34,-19.5,-31.2
91,Butyrophylin family,Butyrophilin subfamily 2 member A1,BT2A1_HUMAN,Plasma memb.,Out,247- 268 ( 246- 276),34.2,25,-18.1,-29.4
93,Butyrophylin family,Butyrophilin subfamily 3 member A1,BT3A1_HUMAN,Plasma memb.,Out,246- 269 ( 244- 275),33.3,11,-11.7,-24.7
96,Butyrophylin family,CD276 antigen,CD276_HUMAN,Plasma memb.,Out,467- 488 ( 464- 497),34.4,15,-17.0,-26.4
98,Butyrophylin family,ICOS ligand,ICOSL_HUMAN,Plasma memb.,Out,255- 276 ( 252- 279),33.4,5,-13.3,-25.2
100,Butyrophylin family,Programmed cell death 1 ligand 2,PD1L2_HUMAN,Plasma memb.,Out,219- 242 ( 218- 245),33.4,13,-20.4,-30.8
101,Butyrophylin family,Putative butyrophilin subfamily 2 member...,BT2A3_HUMAN,Plasma memb.,Out,245- 266 ( 244- 274),34.1,6,-18.7,-31.6
104,Netrin/DCC receptor family,Cell adhesion molecule-related/down-regu...,CDON_HUMAN,Plasma memb.,Out,965- 988 ( 962- 993),34.2,25,-22.6,-31.2
105,Netrin/DCC receptor family,Immunoglobulin superfamily DCC subclass...,IGDC3_HUMAN,Plasma memb.,Out,639- 661 ( 633- 664),34.3,16,-11.3,-25.0
106,Netrin/DCC receptor family,Immunoglobulin superfamily DCC subclass...,IGDC4_HUMAN,Plasma memb.,Out,952- 977 ( 950- 979),34.4,19,-10.1,-20.1
107,Netrin/DCC receptor family,Neogenin,NEO1_HUMAN,Plasma memb.,Out,1105-1130 (1100-1138),34.3,30,-18.9,-30.1
109,Netrin/DCC receptor family,Protogenin,PRTG_HUMAN,Plasma memb.,Out,949- 970 ( 945- 976),34.2,5,-14.7,-23.4
111,Leukocyte immunoglobulin-like receptor f...,Leukocyte-associated immunoglobulin-like...,LAIR1_HUMAN,Plasma memb.,Out,164- 186 ( 161- 188),34.4,9,-20.7,-29.8
115,Leukocyte immunoglobulin-like receptor f...,Leukocyte immunoglobulin-like receptor s...,LIRA5_HUMAN,Plasma memb.,Out,263- 284 ( 262- 286),33.4,6,-12.9,-21.6
116,Leukocyte immunoglobulin-like receptor f...,Leukocyte immunoglobulin-like receptor s...,LIRA6_HUMAN,Plasma memb.,Out,446- 467 ( 444- 472),33.4,14,-15.0,-24.5
117,Leukocyte immunoglobulin-like receptor f...,Leukocyte immunoglobulin-like receptor s...,LIRB1_HUMAN,Plasma memb.,Out,456- 482 ( 455- 487),34.5,30,-31.9,-36.2
119,Leukocyte immunoglobulin-like receptor f...,Leukocyte immunoglobulin-like receptor s...,LIRB3_HUMAN,Plasma memb.,Out,442- 463 ( 438- 470),34.3,16,-23.8,-31.8
120,Leukocyte immunoglobulin-like receptor f...,Leukocyte immunoglobulin-like receptor s...,LIRB4_HUMAN,Plasma memb.,Out,258- 282 ( 254- 287),34.4,20,-21.4,-29.7
121,Leukocyte immunoglobulin-like receptor f...,Leukocyte immunoglobulin-like receptor s...,LIRB5_HUMAN,Plasma memb.,Out,459- 480 ( 457- 486),33.3,16,-22.6,-30.8
122,Leukocyte immunoglobulin-like receptor f...,Platelet glycoprotein VI,GPVI_HUMAN,Plasma memb.,Out,271- 290 ( 268- 297),32.3,11,-8.4,-19.4
123,Leukocyte immunoglobulin-like receptor f...,"T-cell-interacting, activating receptor...",TARM1_HUMAN,Plasma memb.,Out,235- 256 ( 233- 258),34.3,5,-14.6,-26.1
124,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI2L1_HUMAN,Plasma memb.,Out,244- 264 ( 241- 265),34.5,11,-22.9,-29.5
125,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI2L2_HUMAN,Plasma memb.,Out,244- 264 ( 241- 265),34.5,11,-22.9,-29.5
126,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI2L3_HUMAN,Plasma memb.,Out,245- 265 ( 241- 266),32.9,10,-24.8,-31.4
127,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI2L4_HUMAN,Plasma memb.,Out,244- 265 ( 242- 274),32.3,11,-13.5,-26.3
129,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI2LB_HUMAN,Plasma memb.,Out,239- 260 ( 234- 261),34.3,25,-21.2,-29.1
132,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI2S3_HUMAN,Plasma memb.,Out,245- 267 ( 241- 272),33.3,16,-11.5,-24.7
133,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI2S4_HUMAN,Plasma memb.,Out,245- 265 ( 241- 273),32.3,21,-10.1,-24.0
134,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI2S5_HUMAN,Plasma memb.,Out,245- 267 ( 241- 272),33.3,15,-10.9,-24.0
136,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI3L2_HUMAN,Plasma memb.,Out,340- 362 ( 336- 368),34.3,15,-24.2,-34.4
137,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI3L3_HUMAN,Plasma memb.,Out,323- 345 ( 319- 350),33.5,15,-16.5,-28.8
138,Killer cell immunoglobulin-like receptor,Killer cell immunoglobulin-like receptor...,KI3S1_HUMAN,Plasma memb.,Out,342- 363 ( 334- 367),32.3,16,-9.5,-23.2
140,TREM family,Trem-like transcript 2 protein,TRML2_HUMAN,Plasma memb.,Out,266- 288 ( 264- 292),33.2,20,-21.5,-29.5
141,TREM family,Trem-like transcript 4 protein,TRML4_HUMAN,Plasma memb.,Out,183- 198 ( 182- 199),30.1,8,-6.1,-12.6
144,Myelin-oligodendrocyte glycoprotein,Myelin-oligodendrocyte glycoprotein,MOG_HUMAN,Plasma memb.,Out,207- 227 ( 205- 228),32.3,3,-11.6,-25.7
145,Roundabout homologs,Roundabout homolog 1,ROBO1_HUMAN,Plasma memb.,Out,898- 920 ( 897- 925),34.0,9,-14.6,-22.9
146,Roundabout homologs,Roundabout homolog 2,ROBO2_HUMAN,Plasma memb.,Out,860- 881 ( 859- 888),34.4,14,-10.8,-19.3
147,Roundabout homologs,Roundabout homolog 3,ROBO3_HUMAN,Plasma memb.,Out,892- 914 ( 891- 919),33.3,18,-6.7,-15.7
148,Roundabout homologs,Roundabout homolog 4,ROBO4_HUMAN,Plasma memb.,Out,469- 489 ( 468- 495),33.0,4,-13.6,-19.5
149,IGSF2-like,Immunoglobulin superfamily member 2,IGSF2_HUMAN,Plasma memb.,Out,954- 977 ( 953- 982),33.1,23,-23.5,-33.0
151,IGSF2-like,Immunoglobulin superfamily member 8,IGSF8_HUMAN,Plasma memb.,Out,577- 605 ( 574- 611),35.5,35,-7.4,-25.3
153,Natural cytotoxicity receptor (NCR) fami...,Natural cytotoxicity triggering receptor...,NCTR2_HUMAN,Plasma memb.,Out,189- 217 ( 188- 228),34.1,35,-4.2,-19.0
154,Natural cytotoxicity receptor (NCR) fami...,Natural cytotoxicity triggering receptor...,NCTR3_HUMAN,Plasma memb.,Out,141- 160 ( 139- 165),32.3,8,-3.3,-16.2
155,Fibroblast growth factor receptor family,Fibroblast growth factor receptor-like 1,FGRL1_HUMAN,Plasma memb.,Out,378- 398 ( 377- 403),34.4,3,-12.5,-25.8
156,Basigin-related receptors,Basigin,BASI_HUMAN,Plasma memb.,Out,328- 344 ( 327- 349),33.1,6,-15.4,-21.9
157,Basigin-related receptors,Embigin,EMB_HUMAN,Plasma memb.,Out,262- 282 ( 261- 290),33.4,17,-16.3,-25.5
159,T-cell surface glycoprotein CD4,T-cell surface glycoprotein CD4,CD4_HUMAN,Plasma memb.,Out,397- 419 ( 396- 426),34.0,30,-15.5,-27.8
160,T-cell antigen CD7,T-cell antigen CD7,CD7_HUMAN,Plasma memb.,Out,179- 200 ( 178- 206),34.4,16,-12.1,-22.5
161,T-cell surface glycoprotein CD8,T-cell surface glycoprotein CD8 alpha ch...,CD8A_HUMAN,Plasma memb.,Out,188- 206 ( 187- 212),32.5,3,-7.6,-16.6
162,T-cell surface glycoprotein CD8,T-cell surface glycoprotein CD8 beta-2 c...,CD8B2_HUMAN,Plasma memb.,Out,172- 194 ( 170- 200),34.4,14,-15.1,-25.9
166,Signaling lymphocytic activating molecul...,SLAM family member 5,SLAF5_HUMAN,Plasma memb.,Out,226- 248 ( 223- 252),33.9,16,-22.3,-32.6
167,Signaling lymphocytic activating molecul...,SLAM family member 6,SLAF6_HUMAN,Plasma memb.,Out,227- 247 ( 222- 251),34.3,14,-22.5,-32.0
168,Signaling lymphocytic activating molecul...,SLAM family member 7,SLAF7_HUMAN,Plasma memb.,Out,227- 249 ( 223- 255),35.3,1,-22.9,-34.7
169,Signaling lymphocytic activating molecul...,SLAM family member 8,SLAF8_HUMAN,Plasma memb.,Out,234- 254 ( 233- 255),33.5,14,-14.7,-27.4
170,Signaling lymphocytic activating molecul...,SLAM family member 9,SLAF9_HUMAN,Plasma memb.,Out,235- 258 ( 231- 263),34.2,20,-25.5,-33.4
171,Signaling lymphocytic activating molecul...,T-cell surface antigen CD2,CD2_HUMAN,Plasma memb.,Out,212- 234 ( 209- 240),34.5,14,-13.7,-23.7
172,Signaling lymphocytic activating molecul...,T-lymphocyte surface antigen Ly-9,LY9_HUMAN,Plasma memb.,Out,454- 475 ( 448- 481),34.4,11,-16.2,-25.1
173,Immunoglobulin superfamily member 6,Immunoglobulin superfamily member 6,IGSF6_HUMAN,Plasma memb.,Out,155- 177 ( 151- 181),34.3,16,-10.8,-22.0
174,CD28 family,T-cell-specific surface glycoprotein CD2...,CD28_HUMAN,Plasma memb.,Out,153- 179 ( 152- 183),35.4,34,-11.8,-25.3
175,CD200 receptor family,Cell surface glycoprotein CD200 receptor...,MO2R1_HUMAN,Plasma memb.,Out,246- 265 ( 245- 267),34.4,7,-18.5,-26.5
178,CD300 receptor family,CMRF35-like molecule 2,CLM2_HUMAN,Plasma memb.,Out,175- 195 ( 172- 197),32.0,14,-11.4,-22.2
179,CD300 receptor family,CMRF35-like molecule 5,CLM5_HUMAN,Plasma memb.,Out,164- 185 ( 160- 186),34.1,16,-12.9,-28.1
182,CD300 receptor family,CMRF35-like molecule 8,CLM8_HUMAN,Plasma memb.,Out,179- 202 ( 178- 205),32.4,20,-21.2,-28.9
183,CD300 receptor family,CMRF35-like molecule 9,CLM9_HUMAN,Plasma memb.,Out,245- 273 ( 244- 276),33.5,40,-13.3,-26.9
184,Mast cell immunoglobulin-like receptor 1,Allergin-1,MILR1_HUMAN,Plasma memb.,Out,227- 252 ( 223- 258),34.2,30,-25.9,-38.1
186,IgLON family,HERV-H LTR-associating protein 2,HHLA2_HUMAN,Plasma memb.,Out,345- 366 ( 341- 371),33.4,4,-10.9,-24.4
190,TIM family,Hepatitis A virus cellular receptor 1,HAVR1_HUMAN,Plasma memb.,Out,292- 313 ( 291- 314),32.3,15,-14.9,-21.7
191,TIM family,Hepatitis A virus cellular receptor 2,HAVR2_HUMAN,Plasma memb.,Out,204- 226 ( 203- 231),33.4,24,-9.5,-21.5
193,Lymphocyte antigen 6 complex locus prote...,Lymphocyte antigen 6 complex locus prote...,LY66F_HUMAN,Plasma memb.,Out,234- 256 ( 233- 262),33.9,19,-18.8,-27.7
194,Paired immunoglobulin-like type 2 recept...,Paired immunoglobulin-like type 2 recept...,PILRA_HUMAN,Plasma memb.,Out,195- 219 ( 191- 224),34.4,25,-17.2,-26.8
195,Paired immunoglobulin-like type 2 recept...,Paired immunoglobulin-like type 2 recept...,PILRB_HUMAN,Plasma memb.,Out,192- 214 ( 186- 220),33.1,26,-16.4,-23.8
198,Signal-regulatory protein family,Signal-regulatory protein beta-1,SIRB1_HUMAN,Plasma memb.,Out,369- 392 ( 368- 397),33.4,25,-9.2,-20.4
199,Signal-regulatory protein family,Signal-regulatory protein beta-1 isoform...,SIRBL_HUMAN,Plasma memb.,Out,367- 392 ( 363- 397),35.4,30,-7.5,-21.3
200,Signal-regulatory protein family,Signal-regulatory protein beta-2,SIRB2_HUMAN,Plasma memb.,Out,294- 314 ( 293- 316),32.3,12,-10.6,-16.6
201,Signal-regulatory protein family,Signal-regulatory protein gamma,SIRPG_HUMAN,Plasma memb.,Out,363- 385 ( 360- 386),33.4,15,-11.8,-23.4
202,Signal-regulatory protein family,Tyrosine-protein phosphatase non-recepto...,SHPS1_HUMAN,Plasma memb.,Out,371- 392 ( 367- 400),33.3,14,-18.9,-27.2
203,T-cell immunoreceptor with Ig and ITIM d...,T-cell immunoreceptor with Ig and ITIM d...,TIGIT_HUMAN,Plasma memb.,Out,143- 164 ( 142- 170),34.4,9,-18.8,-25.8
205,"LRR, IG-like domain and TM domain-contai...",Immunoglobulin superfamily containing le...,ISLR2_HUMAN,Plasma memb.,Out,587- 608 ( 586- 612),32.5,9,-14.4,-27.5
207,"LRR, IG-like domain and TM domain-contai...","Leucine-rich repeat, immunoglobulin-like...",LRIT2_HUMAN,Plasma memb.,Out,462- 483 ( 458- 487),33.4,12,-9.3,-23.8
211,VSIG4 receptor,V-set and immunoglobulin domain-containi...,VSIG4_HUMAN,Plasma memb.,Out,284- 305 ( 283- 310),34.5,21,-20.4,-29.1
213,Unc5 family,Netrin receptor UNC5A,UNC5A_HUMAN,Plasma memb.,Out,305- 327 ( 300- 331),34.3,11,-23.0,-28.3
215,Unc5 family,Netrin receptor UNC5C,UNC5C_HUMAN,Plasma memb.,Out,379- 401 ( 375- 406),34.2,12,-18.7,-25.2
216,Unc5 family,Netrin receptor UNC5D,UNC5D_HUMAN,Plasma memb.,Out,382- 402 ( 378- 407),33.4,1,-12.9,-22.9
218,Fas apoptotic inhibitory molecule,Fas apoptotic inhibitory molecule 3,FAIM3_HUMAN,Plasma memb.,Out,252- 274 ( 250- 281),33.4,10,-17.6,-27.2
219,Polymeric immunoglobulin receptor,Polymeric immunoglobulin receptor,PIGR_HUMAN,Plasma memb.,Out,640- 661 ( 637- 666),33.4,9,-10.7,-23.7
220,Carcinoembryonic antigen-related cell ad...,Carcinoembryonic antigen-related cell ad...,CEAM1_HUMAN,Plasma memb.,Out,430- 453 ( 429- 457),34.5,15,-15.0,-25.6
222,Carcinoembryonic antigen-related cell ad...,Carcinoembryonic antigen-related cell ad...,CEA20_HUMAN,Plasma memb.,Out,444- 469 ( 441- 475),34.5,30,-10.4,-20.5
223,Carcinoembryonic antigen-related cell ad...,Carcinoembryonic antigen-related cell ad...,CEA21_HUMAN,Plasma memb.,Out,239- 260 ( 235- 264),33.5,4,-16.8,-24.6
224,Carcinoembryonic antigen-related cell ad...,Carcinoembryonic antigen-related cell ad...,CEAM3_HUMAN,Plasma memb.,Out,153- 176 ( 152- 180),34.3,23,-14.8,-25.1
226,Carcinoembryonic antigen-related cell ad...,Programmed cell death protein 1,PDCD1_HUMAN,Plasma memb.,Out,167- 191 ( 163- 197),34.4,24,-12.8,-24.6
227,Carcinoembryonic antigen-related cell ad...,V-set and immunoglobulin domain-containi...,VS10L_HUMAN,Plasma memb.,Out,779- 804 ( 776- 806),34.3,26,-15.3,-25.2
228,Cytotoxic T-lymphocyte antigen 4,Cytotoxic T-lymphocyte protein 4,CTLA4_HUMAN,Plasma memb.,Out,163- 188 ( 159- 193),33.9,25,-12.2,-22.9
229,B- and T-lymphocyte attenuator,B- and T-lymphocyte attenuator,BTLA_HUMAN,Plasma memb.,Out,154- 177 ( 153- 181),33.5,19,-6.1,-25.6
230,Inducible T-cell costimulator,Inducible T-cell costimulator,ICOS_HUMAN,Plasma memb.,Out,144- 164 ( 143- 171),33.0,1,-12.8,-22.3
231,T-cell receptor beta/gamma/delta chains,T cell receptor beta chain MC.7.G5,TRBR2_HUMAN,Plasma memb.,Out,290-310(285-313),32.3,10,-12.9,-19.3
232,T-cell receptor beta/gamma/delta chains,T cell receptor beta constant 1,TRBC1_HUMAN,Plasma memb.,Out,153- 173 ( 149- 175),32.2,11,-13.0,-18.8
